Bandit,Estimated_Reward,Pulls,Estimated_Regret
1,0.8746484480110538,2,0.1253515519889462
2,1.886441010105751,1,0.11355898989424906
3,2.042086466114789,2,0.9579135338852112
4,3.993731455355773,19995,0.006268544644226992
