Trial,Cumulative Reward,Cumulative Regret
2042,8180.421351523903,-8.421351523902558
2043,8185.972470678363,-9.972470678362697
2044,8188.817135174612,-8.817135174612304
2045,8193.93914767631,-9.939147676310313
2046,8198.684990083528,-10.684990083527737
2047,8201.757201179465,-9.757201179465483
2048,8203.525010469042,-7.525010469042172
2049,8208.14902252584,-8.149022525840337
2050,8211.600851420259,-7.60085142025855
2051,8215.641529773198,-7.641529773198272
2052,8220.912023267063,-8.912023267062978
2053,8226.166660452483,-10.166660452483484
2054,8231.468257766848,-11.468257766848183
2055,8234.197778174812,-10.197778174811901
2056,8238.316609723974,-10.31660972397367
2057,8243.894676507569,-11.894676507568875
2058,8247.662860862305,-11.662860862305024
2059,8253.180341462146,-13.180341462146316
2060,8257.727148360764,-13.72714836076375
2061,8261.15350711263,-13.153507112630905
2062,8266.214424848782,-14.214424848782073
2063,8268.88563002012,-12.885630020120516
2064,8273.317849777462,-13.31784977746247
2065,8278.11276147043,-14.112761470429177
2066,8282.081238342456,-14.081238342456345
2067,8284.89870617013,-12.898706170130026
2068,8290.452563874993,-14.452563874992848
2069,8293.99823189777,-13.998231897770893
2070,8299.698849356417,-15.698849356416758
2071,8303.343737530775,-15.343737530774888
2072,8308.364462791258,-16.36446279125812
2073,8311.33107602924,-15.331076029240648
2074,8314.27844847862,-14.278448478620703
2075,8318.842670765176,-14.84267076517608
2076,8323.37966637544,-15.379666375440138
2077,8327.377655608569,-15.377655608568602
2078,8331.721827642847,-15.72182764284662
2079,8336.49125526794,-16.491255267939778
2080,8340.145548524106,-16.145548524105834
2081,8344.105543086296,-16.105543086296166
2082,8347.343760863918,-15.34376086391785
2083,8351.038751643508,-15.038751643507567
2084,8355.448058170467,-15.448058170466538
2085,8359.491671380201,-15.491671380201296
2086,8362.520315080119,-14.520315080118962
2087,8367.510998316378,-15.51099831637839
2088,8372.354548801819,-16.354548801818964
2089,8376.188617058782,-16.188617058782256
2090,8379.687055563536,-15.687055563535978
2091,8383.654195796129,-15.654195796128988
2092,8388.350896985918,-16.350896985917643
2093,8391.69105702419,-15.69105702419074
2094,8395.668232699987,-15.66823269998713
2095,8398.984960979898,-14.98496097989846
2096,8403.751954371563,-15.751954371562533
2097,8409.455358288364,-17.45535828836364
2098,8413.928706611418,-17.92870661141751
2099,8418.379178425577,-18.379178425577265
2100,8421.92560322473,-17.925603224730366
2101,8424.887021492545,-16.88702149254459
2102,8429.93872219271,-17.938722192709974
2103,8434.210907792813,-18.210907792812577
2104,8438.101758091982,-18.101758091981537
2105,8441.842546547809,-17.842546547808524
2106,8446.848816810721,-18.848816810721473
2107,8448.118259941117,-16.118259941116776
2108,8453.084116382735,-17.084116382735374
2109,8456.756307102984,-16.756307102983556
2110,8459.661513118308,-15.661513118307994
2111,8463.396523942132,-15.396523942132262
2112,8467.130557501674,-15.130557501674048
2113,8470.762793029371,-14.762793029371096
2114,8474.369811473432,-14.369811473432492
2115,8478.402102425189,-14.402102425188787
2116,8483.59345777681,-15.593457776809373
2117,8485.981351689745,-13.98135168974477
2118,8488.07365636796,-12.073656367960211
2119,8489.164723744478,-9.16472374447767
2120,8492.641642269286,-8.641642269285512
2121,8495.19507068102,-7.195070681020297
2122,8499.300441003556,-7.300441003555534
2123,8502.06562454713,-6.065624547129119
2124,8505.459913703633,-5.459913703632992
2125,8509.87599558079,-5.875995580789095
2126,8512.822201492454,-4.822201492454042
2127,8518.592226449722,-6.592226449722148
2128,8524.383775276443,-8.383775276442975
2129,8527.140777227149,-7.1407772271486465
2130,8529.692056539157,-5.69205653915742
2131,8532.829029993689,-4.829029993688891
2132,8536.523392813902,-4.523392813902319
2133,8539.64356071119,-3.64356071119073
2134,8543.40487375473,-3.404873754729124
2135,8546.495744282895,-2.4957442828945204
2136,8550.965581742772,-2.965581742771974
2137,8554.386422055311,-2.3864220553114137
2138,8558.07605362191,-2.076053621909523
2139,8561.266108087906,-1.2661080879061046
2140,8564.38620397765,-0.3862039776504389
2141,8569.060351180973,-1.0603511809731572
2142,8573.062281397959,-1.062281397958941
2143,8576.41499893956,-0.4149989395591547
2144,8579.907477230216,0.09252276978440932
2145,8584.840740041616,-0.8407400416163
2146,8586.813803426056,1.1861965739444713
2147,8591.242993500899,0.7570064991014078
2148,8595.74413399005,0.25586600994938635
2149,8599.746096051478,0.2539039485218382
2150,8602.896239192278,1.1037608077222103
2151,8608.43104704912,-0.4310470491200249
2152,8612.212996086757,-0.21299608675690251
2153,8616.268491330846,-0.2684913308457908
2154,8620.753044170371,-0.7530441703711404
2155,8623.646577571595,0.35342242840488325
2156,8627.457572230654,0.5424277693455224
2157,8631.65723568129,0.34276431870966917
2158,8637.131492738661,-1.1314927386611089
2159,8641.006283962257,-1.00628396225693
2160,8645.025301105317,-1.0253011053173395
2161,8648.751858975178,-0.7518589751780382
2162,8651.733626335617,0.2663736643826269
2163,8654.3258614651,1.6741385348996118
2164,8658.00184262425,1.998157375750452
