Trial,Bandit,Reward,Algorithm
136,3.0,3.3466431264352163,ThompsonSampling
137,3.0,3.184438055725696,ThompsonSampling
138,3.0,5.579961188949057,ThompsonSampling
139,3.0,3.361455935418166,ThompsonSampling
140,3.0,3.355761058898279,ThompsonSampling
141,3.0,4.437288397238786,ThompsonSampling
142,3.0,4.25823521830074,ThompsonSampling
143,3.0,5.966250864478976,ThompsonSampling
144,3.0,4.800356216048601,ThompsonSampling
145,3.0,4.7909176764152805,ThompsonSampling
146,3.0,4.462360895877736,ThompsonSampling
147,3.0,2.743235784254291,ThompsonSampling
148,3.0,3.0205673541760865,ThompsonSampling
149,3.0,4.243546171549363,ThompsonSampling
150,3.0,5.369024769576001,ThompsonSampling
151,3.0,4.513193121113389,ThompsonSampling
152,3.0,3.773034198382361,ThompsonSampling
153,3.0,2.9291213749575897,ThompsonSampling
154,3.0,3.7967709308614572,ThompsonSampling
155,3.0,1.5348927484415533,ThompsonSampling
156,3.0,3.2972398351036682,ThompsonSampling
157,3.0,3.960940726472005,ThompsonSampling
158,3.0,5.814347808418752,ThompsonSampling
159,3.0,3.431575455165273,ThompsonSampling
160,3.0,3.268532538334416,ThompsonSampling
161,3.0,5.755989625764595,ThompsonSampling
162,3.0,2.781896643135737,ThompsonSampling
163,3.0,3.161295109988391,ThompsonSampling
164,3.0,3.8124756590335536,ThompsonSampling
165,3.0,2.459034761569602,ThompsonSampling
166,3.0,4.13577580797864,ThompsonSampling
167,3.0,3.9065534057251217,ThompsonSampling
168,3.0,3.3236664994605034,ThompsonSampling
169,3.0,3.640658342531276,ThompsonSampling
170,3.0,3.0493553244030394,ThompsonSampling
171,3.0,4.898105513309974,ThompsonSampling
172,3.0,5.284625743296265,ThompsonSampling
173,3.0,3.1384836416428588,ThompsonSampling
174,3.0,3.9386970680456197,ThompsonSampling
175,3.0,4.188948587786441,ThompsonSampling
176,3.0,3.7860578856584786,ThompsonSampling
177,3.0,5.020422636926417,ThompsonSampling
178,3.0,4.5793014180260085,ThompsonSampling
179,3.0,3.585488484235096,ThompsonSampling
180,3.0,3.9599947821624064,ThompsonSampling
181,3.0,4.4398885514424276,ThompsonSampling
182,3.0,4.319111757115025,ThompsonSampling
183,3.0,0.8953506387126953,ThompsonSampling
184,3.0,2.348406342014762,ThompsonSampling
185,3.0,4.716163234744769,ThompsonSampling
186,3.0,5.490507982584966,ThompsonSampling
187,3.0,4.648188952019684,ThompsonSampling
188,3.0,5.288911516902234,ThompsonSampling
189,3.0,3.451723411706179,ThompsonSampling
190,3.0,3.4454342804623197,ThompsonSampling
191,3.0,4.0521319957465805,ThompsonSampling
192,3.0,2.458719999579605,ThompsonSampling
193,3.0,3.9803225679994627,ThompsonSampling
194,3.0,4.631243120079895,ThompsonSampling
195,3.0,5.238016086449496,ThompsonSampling
196,3.0,5.027491325665948,ThompsonSampling
197,3.0,3.457052643871615,ThompsonSampling
198,3.0,2.7273709464209057,ThompsonSampling
199,3.0,5.680897415504336,ThompsonSampling
200,3.0,5.393381464614547,ThompsonSampling
201,3.0,3.561663472367153,ThompsonSampling
202,3.0,3.66531122277276,ThompsonSampling
203,3.0,2.2163505212210914,ThompsonSampling
204,3.0,2.690605413270692,ThompsonSampling
205,3.0,5.02113503853389,ThompsonSampling
206,3.0,4.754682568194759,ThompsonSampling
207,3.0,4.784741035053694,ThompsonSampling
208,3.0,5.220987217885181,ThompsonSampling
209,3.0,2.891348114486842,ThompsonSampling
210,3.0,4.666327907930491,ThompsonSampling
211,3.0,2.86066177860399,ThompsonSampling
212,3.0,4.785892247395437,ThompsonSampling
213,3.0,4.7485773673057645,ThompsonSampling
214,3.0,3.5434470462312193,ThompsonSampling
215,3.0,4.29054539535737,ThompsonSampling
216,3.0,3.6979312460085256,ThompsonSampling
217,3.0,4.640836151542034,ThompsonSampling
218,3.0,5.543249998880367,ThompsonSampling
219,3.0,4.3065755223580116,ThompsonSampling
220,3.0,5.013733068449798,ThompsonSampling
221,3.0,4.231763736415626,ThompsonSampling
222,3.0,2.5855366242508557,ThompsonSampling
