Trial,Cumulative Reward,Cumulative Regret
3599,14366.472025758178,33.52797424182245
3600,14370.572232702325,33.42776729767502
3601,14375.238088596876,32.76191140312403
3602,14377.237823541875,34.762176458125396
3603,14381.864066817217,34.13593318278254
3604,14386.170579920443,33.82942007955717
3605,14390.389463177735,33.6105368222652
3606,14394.34791483515,33.65208516484927
3607,14398.922978686142,33.077021313858495
3608,14402.058351674177,33.941648325822825
3609,14405.4689330821,34.53106691789981
3610,14410.923074037773,33.076925962226596
3611,14414.281170028209,33.71882997179091
3612,14416.908415231173,35.09158476882658
3613,14420.264010761062,35.73598923893769
3614,14423.497538434698,36.50246156530193
3615,14427.77334667212,36.22665332787983
3616,14431.271446261813,36.72855373818675
3617,14434.39247156174,37.60752843826049
3618,14438.723479767448,37.276520232551775
3619,14441.857310299469,38.142689700531264
3620,14444.16471783068,39.835282169320635
3621,14447.596677356256,40.403322643744104
3622,14451.613346939308,40.38665306069197
3623,14455.147361022875,40.852638977125025
3624,14459.87778820728,40.1222117927191
3625,14462.018667280958,41.98133271904226
3626,14466.445014908742,41.55498509125755
3627,14469.865040495999,42.13495950400102
3628,14474.583319177364,41.41668082263641
3629,14478.042012606207,41.95798739379279
3630,14481.969105083244,42.03089491675564
3631,14484.888299934297,43.11170006570319
3632,14489.518016902875,42.48198309712461
3633,14493.702243298636,42.29775670136405
3634,14498.033674477383,41.9663255226169
3635,14501.016326026827,42.9836739731727
3636,14504.79689162319,43.20310837681063
3637,14507.741517555503,44.25848244449662
3638,14511.626003493371,44.37399650662883
3639,14516.584932236074,43.415067763926345
3640,14520.19361485995,43.806385140049315
3641,14522.66733374951,45.33266625048964
3642,14527.226356598598,44.773643401402296
3643,14530.388344479303,45.61165552069724
3644,14535.30462047663,44.69537952336941
3645,14538.890922293755,45.10907770624544
3646,14542.873758069962,45.126241930038304
3647,14547.7438206678,44.25617933220019
3648,14551.098116771802,44.90188322819813
3649,14554.68373116264,45.31626883735953
3650,14559.423079018916,44.576920981084186
3651,14561.576891750568,46.42310824943161
3652,14566.190930082037,45.809069917962915
3653,14568.841520370937,47.15847962906264
3654,14572.758383248125,47.24161675187497
3655,14575.977721630734,48.02227836926613
3656,14580.141989331574,47.85801066842578
3657,14583.427223666087,48.57277633391277
3658,14587.701365090781,48.29863490921889
3659,14592.490817996892,47.509182003108435
3660,14596.53864248452,47.461357515479904
3661,14600.5621019457,47.437898054300604
3662,14605.669342557037,46.33065744296255
3663,14609.949358524498,46.050641475501834
3664,14614.026701591814,45.973298408185656
3665,14618.627505965513,45.37249403448732
3666,14622.245177261484,45.75482273851594
3667,14627.269336510213,44.73066348978682
3668,14630.995243213752,45.004756786247526
3669,14635.26562891326,44.73437108674079
3670,14638.699511478939,45.3004885210612
3671,14642.407249266851,45.59275073314893
3672,14647.560067395436,44.43993260456409
3673,14651.646210927816,44.353789072183645
3674,14655.58245437187,44.41754562813003
3675,14659.259023972809,44.74097602719121
3676,14661.917408905923,46.08259109407663
3677,14665.092024841326,46.90797515867416
3678,14669.596081030033,46.40391896996698
3679,14672.317485185955,47.682514814045135
3680,14675.845096791743,48.154903208256655
3681,14679.925417371902,48.07458262809814
3682,14685.164093954372,46.83590604562778
3683,14689.357081056569,46.64291894343114
3684,14695.799386289751,44.200613710248945
3685,14700.067082257203,43.932917742797144
3686,14704.618487155427,43.38151284457308
3687,14709.018768043094,42.98123195690641
3688,14711.269797912886,44.73020208711387
3689,14715.818430335683,44.18156966431707
3690,14720.362439707287,43.637560292712806
3691,14722.589283358897,45.410716641103136
3692,14725.69670294067,46.30329705933036
3693,14730.016943131679,45.983056868321
3694,14732.155803355436,47.84419664456436
3695,14736.069071114352,47.93092888564752
3696,14740.513248007626,47.486751992373684
3697,14743.879361538931,48.120638461068665
3698,14745.67409696662,50.32590303337929
3699,14748.976596961373,51.02340303862729
3700,14751.915473784627,52.084526215372534
3701,14756.515483509647,51.48451649035269
3702,14761.50122172591,50.49877827409
3703,14766.739381595557,49.26061840444345
3704,14768.28419061993,51.71580938006991
3705,14773.204194912707,50.79580508729305
3706,14777.219380149518,50.78061985048225
3707,14781.238173457697,50.761826542302515
3708,14784.168156296822,51.83184370317758
3709,14788.829320575816,51.17067942418362
3710,14790.757365357942,53.242634642057965
3711,14793.523087938853,54.47691206114723
3712,14796.782663901526,55.217336098474334
3713,14800.502078735892,55.4979212641083
3714,14804.357294966638,55.64270503336229
3715,14806.910870203028,57.089129796971974
3716,14811.901598657243,56.098401342756915
3717,14817.316176542536,54.683823457464314
3718,14822.351308987027,53.64869101297336
3719,14826.01012953818,53.98987046182083
3720,14831.10544956067,52.89455043933049
3721,14833.917455412511,54.08254458748888
3722,14837.818781003949,54.18121899605103
3723,14841.8541081888,54.14589181120027
3724,14845.348158066387,54.65184193361347
3725,14848.680771931213,55.3192280687872
3726,14852.833152467205,55.166847532795146
3727,14856.705784739268,55.29421526073202
3728,14861.278728992811,54.72127100718899
3729,14866.498250225919,53.50174977408096
3730,14870.579977926369,53.42002207363112
3731,14873.632545630166,54.36745436983438
3732,14878.676301644758,53.323698355241504
3733,14882.509832016915,53.490167983085485
3734,14885.803644169058,54.196355830941684
3735,14891.54268460894,52.45731539106055
3736,14895.868139685943,52.13186031405712
3737,14900.151817338461,51.848182661538885
3738,14904.076085588737,51.92391441126347
3739,14908.59577626107,51.40422373892943
3740,14911.7781991395,52.22180086049957
3741,14915.081302080713,52.9186979192873
3742,14921.370754154841,50.62924584515895
3743,14924.468504138964,51.53149586103609
3744,14928.282806496869,51.71719350313106
3745,14932.338771338564,51.661228661436326
3746,14937.925218078532,50.07478192146846
3747,14941.27174156213,50.728258437869954
3748,14945.083067372365,50.916932627635106
3749,14949.517711960241,50.482288039758714
3750,14954.106496797036,49.893503202963984
3751,14957.078897522064,50.921102477936074
3752,14961.26797865428,50.73202134572057
3753,14964.26258156161,51.737418438389795
3754,14967.430226989865,52.56977301013467
3755,14972.306293530237,51.69370646976313
3756,14977.59448359233,50.4055164076708
3757,14981.962674654706,50.03732534529445
3758,14985.52176076844,50.4782392315592
3759,14988.739530073872,51.26046992612828
3760,14992.636320321353,51.363679678646804
3761,14997.05115581759,50.94884418241054
3762,15000.152217722987,51.84778227701281
3763,15004.293898063484,51.70610193651555
3764,15008.48467379826,51.5153262017393
3765,15011.454079172521,52.54592082747877
