Trial,Bandit,Reward,Algorithm
0,0.0,2.0941906583969754,EpsilonGreedy
1,3.0,3.899609471675914,EpsilonGreedy
2,3.0,5.418195167089631,EpsilonGreedy
3,3.0,3.7071223561499087,EpsilonGreedy
4,3.0,1.303948966560585,EpsilonGreedy
5,3.0,3.5507669645233033,EpsilonGreedy
6,3.0,4.488997059401114,EpsilonGreedy
7,3.0,4.480582237802005,EpsilonGreedy
8,3.0,4.833158124521617,EpsilonGreedy
9,3.0,1.9128778347430546,EpsilonGreedy
10,3.0,3.639023025665118,EpsilonGreedy
11,3.0,3.470518879603333,EpsilonGreedy
12,3.0,3.8221144977240415,EpsilonGreedy
13,3.0,4.443263361343335,EpsilonGreedy
14,3.0,2.687513277068085,EpsilonGreedy
15,3.0,4.583636452211338,EpsilonGreedy
16,3.0,5.461134388848924,EpsilonGreedy
17,3.0,4.860617904903324,EpsilonGreedy
18,3.0,3.1423368166145944,EpsilonGreedy
19,3.0,3.263276400191552,EpsilonGreedy
20,3.0,4.665442115445332,EpsilonGreedy
21,3.0,4.287458531621851,EpsilonGreedy
22,3.0,3.4001489793821524,EpsilonGreedy
23,3.0,4.626205032633561,EpsilonGreedy
24,3.0,2.8582873738081895,EpsilonGreedy
25,3.0,3.8412988622766995,EpsilonGreedy
26,3.0,3.9885141596782963,EpsilonGreedy
27,3.0,2.585126322274605,EpsilonGreedy
28,3.0,2.4244090795367153,EpsilonGreedy
29,3.0,4.688028492200377,EpsilonGreedy
30,3.0,3.933714072726774,EpsilonGreedy
31,3.0,4.466503681463073,EpsilonGreedy
32,3.0,2.4929510411984257,EpsilonGreedy
33,3.0,3.6337106806436505,EpsilonGreedy
34,3.0,4.198850105328896,EpsilonGreedy
35,3.0,4.327482483973252,EpsilonGreedy
36,3.0,3.7698550347916426,EpsilonGreedy
37,3.0,4.2975472451457115,EpsilonGreedy
38,3.0,4.60907980634231,EpsilonGreedy
39,3.0,3.9169158264266652,EpsilonGreedy
40,3.0,2.8560004824479215,EpsilonGreedy
41,3.0,3.9464275793756016,EpsilonGreedy
42,3.0,4.5941987975490255,EpsilonGreedy
43,3.0,2.6808057569239665,EpsilonGreedy
44,3.0,5.157562476232439,EpsilonGreedy
